iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2020-02-24,1.0,1.0,,,,,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2020-02-25,1.0,0.0,,,,,0.026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
LUX,Europe,Luxembourg,2020-03-16,77.0,18.0,10.571,1.0,0.0,0.143,123.008,28.755,16.888,1.598,0.0,0.228,,0.0,0.0,0.0,0.0,,,,,358.0,933.0,1.49,0.572,125.0,0.2,0.085,11.8,tests performed,,,,,,,,,,72.22,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
LUX,Europe,Luxembourg,2020-03-17,140.0,63.0,19.286,1.0,0.0,0.143,223.651,100.643,30.809,1.598,0.0,0.228,,0.0,0.0,0.0,0.0,,,,,578.0,1511.0,2.414,0.923,205.0,0.327,0.094,10.6,tests performed,,,,,,,,,,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
LUX,Europe,Luxembourg,2020-03-18,203.0,63.0,28.0,2.0,1.0,0.286,324.294,100.643,44.73,3.195,1.598,0.456,2.64,0.0,0.0,0.0,0.0,,,,,880.0,2391.0,3.82,1.406,326.0,0.521,0.086,11.6,tests performed,,,,,,,,,,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
LUX,Europe,Luxembourg,2020-03-19,335.0,132.0,45.143,4.0,2.0,0.571,535.164,210.871,72.116,6.39,3.195,0.913,2.63,0.0,0.0,1.0,1.598,,,,,901.0,3292.0,5.259,1.439,430.0,0.687,0.105,9.5,tests performed,,,,,,,,,,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
PAK,Asia,Pakistan,2020-12-18,454673.0,3179.0,2802.429,9250.0,86.0,75.143,2058.347,14.392,12.687,41.876,0.389,0.34,0.92,,,,,,,,,39171.0,6216060.0,28.141,0.177,38188.0,0.173,0.073,13.6,tests performed,,,,,,,,,,64.35,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-12-19,457288.0,2615.0,2694.714,9330.0,80.0,76.286,2070.185,11.838,12.199,42.238,0.362,0.345,0.91,,,,,,,,,48075.0,6264135.0,28.358,0.218,39138.0,0.177,0.069,14.5,tests performed,,,,,,,,,,64.35,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-12-20,458968.0,1680.0,2597.286,9392.0,62.0,80.0,2077.791,7.606,11.758,42.518,0.281,0.362,0.9,,,,,,,,,37206.0,6301341.0,28.527,0.168,38422.0,0.174,0.068,14.8,tests performed,,,,,,,,,,64.35,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-12-21,460672.0,1704.0,2489.429,9474.0,82.0,81.286,2085.505,7.714,11.27,42.89,0.371,0.368,0.9,,,,,,,,,34772.0,6336113.0,28.684,0.157,38842.0,0.176,0.064,15.6,tests performed,,,,,,,,,,64.35,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
